week_start,time,humidity_avg,rainfall_total,temp_max_avg,temp_avg,extreme_hot_days,intervention,time_since_intervention,season_sin,season_cos,air conditioning subsidy,cooling center,Hong Kong temperature,Hong Kong weather,prevent heatstroke,ways to cool down,weather,中暑,中暑症狀,熱中暑,酷熱,空調補貼,避暑中心,天氣,開冷氣,防中暑,香港天氣,香港溫度
2022-1-3,1,77.4,0,21.5,18.9,0,0,0,0.120122892,0.99275903,0,0,23,27,0,0,37,0,0,0,0,0,0,36,0,0,24,0
2022-1-10,2,74.4,1.2,19.2,17.2,0,0,0,0.238506172,0.971140981,0,0,31,27,0,0,37,0,0,0,0,0,0,36,0,0,29,21
2022-1-17,3,80.6,1.8,19.6,17.8,0,0,0,0.353435419,0.935458927,0,0,24,27,0,0,35,3,0,0,0,0,0,35,6,0,26,15
2022-1-24,4,81.1,1.2,20.9,18.6,0,0,0,0.463246236,0.886229612,0,0,12,26,0,0,58,0,0,0,0,0,0,50,0,0,26,19
2022-1-31,5,77.1,3.2,16.7,14.8,0,0,0,0.566348348,0.824165972,0,0,40,51,0,0,34,0,0,0,0,100,0,34,0,0,39,0
2022-2-7,6,81.6,1.3,19,17.3,0,0,0,0.661248636,0.750166809,0,0,18,25,0,0,38,0,0,0,0,0,0,36,4,0,25,14
2022-2-14,7,83.6,69.9,17.3,14.8,0,0,0,0.746572761,0.665303774,0,0,30,30,0,0,56,0,0,0,0,0,0,44,12,0,31,55
2022-2-21,8,80.7,94.2,16.7,13.4,0,0,0,0.821085064,0.57080585,0,0,50,42,0,0,28,4,0,0,0,0,0,28,4,0,37,13
2022-2-28,9,77.7,0,24.3,20.3,0,0,0,0.883706461,0.468041549,0,0,22,19,0,0,26,0,0,0,0,0,0,28,7,0,21,0
2022-3-7,10,64.9,4.9,25.2,20.7,0,0,0,0.933530073,0.358499098,100,0,19,17,0,0,25,6,0,0,0,0,0,28,21,0,18,0
2022-3-14,11,82.7,0.1,26.7,23.3,0,0,0,0.969834358,0.243764884,0,0,11,17,0,0,42,3,0,0,0,0,0,39,33,0,24,12
2022-3-21,12,89.4,57.5,24.2,21.7,0,0,0,0.992093559,0.125500482,0,0,15,28,0,0,44,2,0,0,0,0,0,38,10,0,33,12
2022-3-28,13,75.3,32.2,22.5,19.4,0,0,0,0.999985319,0.005418589,0,0,16,32,0,0,28,5,0,0,0,0,0,29,11,0,33,19
2022-4-4,14,62.4,0,27.2,22.4,0,0,0,0.993395352,-0.114741776,0,0,17,19,0,0,26,7,9,0,7,0,0,27,25,0,21,0
2022-4-11,15,73.6,0.5,27.4,24.2,0,0,0,0.972419091,-0.233240457,0,0,14,18,0,0,27,4,0,0,0,0,0,29,15,0,24,11
2022-4-18,16,79.4,0.9,26.7,23.7,0,0,0,0.937360315,-0.348361364,0,0,12,17,0,0,28,13,11,0,17,0,0,29,41,0,26,0
2022-4-25,17,81.3,32.9,29.7,26.7,0,0,0,0.888726742,-0.458437321,0,0,11,19,0,0,37,3,0,0,0,0,0,36,14,0,27,0
2022-5-2,18,72.1,24.2,27.4,23.8,0,0,0,0.827222681,-0.561874217,0,0,17,28,0,0,57,5,0,0,0,0,0,50,12,0,33,0
2022-5-9,19,89.3,324.6,26.8,25,0,0,0,0.75373883,-0.657174084,0,0,10,45,0,0,36,4,0,0,0,0,0,39,13,0,51,16
2022-5-16,20,72.9,5.3,27.6,24.4,0,0,0,0.669339378,-0.742956794,0,0,10,29,0,0,41,6,0,0,0,0,0,40,17,0,37,12
2022-5-23,21,87.3,50,28.3,26.5,0,0,0,0.575246592,-0.817980048,0,0,14,30,0,0,33,16,17,0,12,0,0,38,33,0,34,0
2022-5-30,22,79.7,14.9,31.5,29,0,0,0,0.472823119,-0.881157363,0,0,8,23,0,0,54,8,0,0,0,0,0,48,25,0,31,0
2022-6-6,23,88.1,206.9,29,27.1,0,0,0,0.36355225,-0.931573809,0,0,9,44,0,0,39,5,0,0,0,0,0,39,30,0,38,0
2022-6-13,24,82.9,58.8,30.4,28.2,0,0,0,0.249016439,-0.968499258,0,0,9,29,0,0,27,21,22,0,16,0,0,31,33,0,33,15
2022-6-20,25,76.1,3.1,32.4,29.7,0,0,0,0.130874386,-0.991398959,0,0,8,16,0,0,78,27,26,0,13,0,0,58,29,0,21,21
2022-6-27,26,81,201.1,31.4,28.8,0,0,0,0.010837018,-0.999941278,0,0,13,76,0,0,32,10,10,0,7,0,0,33,25,0,54,0
2022-7-4,27,81.3,14.3,31.8,29.4,0,0,0,-0.109357291,-0.994002507,0,0,6,24,0,0,26,47,49,0,19,0,0,27,39,0,23,17
2022-7-11,28,74.4,2.9,34.1,30.7,3,0,0,-0.227967894,-0.97366865,0,0,16,16,0,0,28,64,69,54,34,0,0,30,43,0,21,33
2022-7-18,29,74.4,3.6,34.6,31.1,3,0,0,-0.343277079,-0.939234181,0,0,14,14,0,0,28,100,100,100,50,0,100,32,46,0,22,54
2022-7-25,30,74,2.4,34.4,31.1,4,0,0,-0.453614947,-0.891197778,0,100,14,20,0,0,40,22,22,0,13,0,0,37,26,0,24,15
2022-8-1,31,81.7,223.8,31.7,28.8,2,0,0,-0.557383589,-0.830255102,0,0,7,34,0,0,67,10,0,0,12,0,0,52,23,0,31,0
2022-8-8,32,86.7,243.4,30.1,27.6,0,0,0,-0.653080235,-0.757288721,0,0,9,56,0,0,34,14,11,0,0,0,0,36,27,0,51,18
2022-8-15,33,83.6,76.1,32.3,28.7,0,0,0,-0.739319012,-0.673355329,0,0,9,22,0,0,62,18,26,0,9,0,0,46,35,0,29,0
2022-8-22,34,78.6,53.7,33.2,29.8,0,0,0,-0.814851014,-0.579670445,0,0,12,56,0,0,32,13,0,0,0,0,0,31,23,0,43,0
2022-8-29,35,69.7,20.6,33.2,29.9,0,0,0,-0.878582393,-0.477590807,0,0,11,19,0,0,25,8,12,0,7,0,0,27,19,0,23,0
