"Dependent","Intervention_Coeff","Intervention_SE","Intervention_p","TSI_Coeff","TSI_SE","TSI_p","R_squared","Adj_R_squared"
"air conditioning subsidy",2.53732195459623,2.33534087551194,0.279053293303808,0.0886470068588455,0.0764567015421072,0.248169308234295,0.0784722705290983,0.0216657666576043
"cooling center",-0.642390285818163,0.921025679876649,0.486616206978097,0.0106043450082672,0.017264444775418,0.540019112516069,0.319275992396402,0.277313553571523
"Hong Kong temperature",6.64544483665882,3.62774695956427,0.0690135359741478,-0.174669961882723,0.0661318711532321,0.00915986964868344,0.723456794497723,0.706409610596897
"Hong Kong weather",6.0563100195902,3.33226459501656,0.071194701637594,-0.416142294607437,0.0694862873713109,1.5710401838495e-08,0.530977988511103,0.502065672734391
"prevent heatstroke",3.36939424997372,2.94814633813716,0.25495671084,-0.0590935339535064,0.0531403519708318,0.267954070729992,0.0513999358013711,-0.00707541062183226
"ways to cool down",-5.29101012516435,3.5967530057334,0.143429124072364,-0.100333199326135,0.0684290509712567,0.144734276049249,0.0593095661920605,0.00132179972444779
"weather",3.0196441634014,3.62915535431068,0.40673873918733,-0.434660302004019,0.0737427243645396,2.49977398725505e-08,0.213358873537552,0.164867297248771
"中暑",2.76389106452534,2.82885424844707,0.330167689464218,-0.0524927917853826,0.0932601451454866,0.574390711776089,0.561057901987697,0.533999827452692
"中暑症狀",5.2646528537425,4.24326677203551,0.21670383352689,-0.0113939901985028,0.107734127480515,0.915917730368285,0.430935340479269,0.395856012152649
"熱中暑",1.01039670012817,3.09498238968708,0.744541721578187,0.00863388805743756,0.0581184104457046,0.882108310131011,0.175174729097948,0.124329335686177
"酷熱",3.33599233536226,3.89810902634569,0.393512056858758,-0.173571389437319,0.146480540337605,0.237964399156757,0.351807840691559,0.311850789775285
"空調補貼",-1.35092125092783,4.31645873299684,0.754750222327725,0.0117462814188043,0.0969637701599488,0.903745972804557,0.0287141221472325,-0.0311596648436916
"避暑中心",-0.682037825980964,0.780299894878582,0.383514851620118,0.0191872636661953,0.015039770383637,0.204063401426074,0.174905829787064,0.124043860390376
"天氣",5.25425027528306,2.50173449192808,0.0374269134399901,-0.308198157509112,0.0580096809334353,3.94996153191069e-07,0.496276711008103,0.465225275385315
"開冷氣",2.58544261270123,2.47060613717225,0.297068382978518,-0.00358575733284371,0.0588701096388495,0.951514469095141,0.616061315864594,0.592393862732959
"防中暑",7.13768028214515,3.58341646969927,0.0482510536695687,-0.123985083502707,0.0716912052333571,0.085845297553915,0.0918741957852458,0.0358938379911856
"香港天氣",8.21850505960257,4.26142167983107,0.0557231277026081,-0.40189096131746,0.0810649615447351,1.95467521504746e-06,0.610008726916737,0.585968168986947
"香港溫度",4.68949250638057,3.84144660024009,0.224143967266101,-0.165123489619565,0.0744924902399754,0.0281938769326252,0.156318342375473,0.104310568960263
